,user_id,item_id,item_name,playtime_forever
0,76561197970982480,10,Counter-Strike,6.0
1,76561198064823728,220,Half-Life 2,2261.0
2,76561198089393904,4000,Garry's Mod,47269.0
3,76561198156664160,4000,Garry's Mod,269.0
4,76561198077246144,4000,Garry's Mod,4317.0
5,76561198070234208,43110,Metro 2033,0.0
6,76561198030389584,205790,Dota 2 Test,0.0
7,76561198043472128,240,Counter-Strike: Source,0.0
8,76561198058373424,220,Half-Life 2,260.0
9,76561198048353568,4000,Garry's Mod,84234.0
10,76561198072190384,91700,E.Y.E: Divine Cybermancy,0.0
11,76561198066046416,4000,Garry's Mod,37.0
12,76561198070565424,4000,Garry's Mod,4944.0
13,76561198076909472,12210,Grand Theft Auto IV,5577.0
14,76561198066908256,33910,Arma 2,3.0
15,76561198054540464,220,Half-Life 2,89.0
16,76561198100701216,10,Counter-Strike,13.0
17,76561198085547360,4000,Garry's Mod,11304.0
18,76561198061252208,220,Half-Life 2,1250.0
19,76561198056147392,4000,Garry's Mod,1537.0
20,76561198071500704,4000,Garry's Mod,314.0
21,76561198099905024,220,Half-Life 2,875.0
22,76561198047407216,4000,Garry's Mod,3802.0
23,76561198100297616,4000,Garry's Mod,430.0
24,76561198083226896,105600,Terraria,12932.0
25,76561198075277296,620,Portal 2,600.0
26,76561198094630960,4000,Garry's Mod,30778.0
27,12549,240,Counter-Strike: Source,468.0
28,76561198028895008,3390,Feeding Frenzy 2: Shipwreck Showdown Deluxe,198.0
29,76561198092411856,4000,Garry's Mod,1919.0
30,76561198170198368,8190,Just Cause 2,115.0
31,76561198079863504,4000,Garry's Mod,384.0
32,76561198078738096,4000,Garry's Mod,303466.0
33,76561198068964560,12900,Audiosurf,176.0
34,76561198067936192,4000,Garry's Mod,1828.0
35,76561198079770576,4000,Garry's Mod,1696.0
36,76561197977385152,220,Half-Life 2,0.0
37,76561198075491008,4000,Garry's Mod,7013.0
38,76561198087586464,240,Counter-Strike: Source,13.0
39,76561198086878944,220,Half-Life 2,1516.0
40,76561198070194560,320,Half-Life 2: Deathmatch,2267.0
41,76561198093083888,620,Portal 2,3123.0
42,76561198138053264,4000,Garry's Mod,102731.0
43,76561198062422080,4000,Garry's Mod,1118.0
44,76561198034678096,4000,Garry's Mod,2545.0
45,76561198075895632,240,Counter-Strike: Source,442.0
46,76561198093817088,4000,Garry's Mod,8144.0
47,76561198102421728,4000,Garry's Mod,59192.0
48,76561198079045888,240,Counter-Strike: Source,2867.0
49,76561198087407328,4000,Garry's Mod,21.0
50,76561198074466512,12120,Grand Theft Auto: San Andreas,36.0
51,19702316748,4000,Garry's Mod,1545.0
52,76561198056741840,17470,Dead Space,12.0
53,76561198030568000,70,Half-Life,21.0
54,76561198088799232,240,Counter-Strike: Source,49.0
55,76561198061730640,240,Counter-Strike: Source,14.0
56,76561198072732864,4000,Garry's Mod,2967.0
57,76561198093112528,4000,Garry's Mod,5080.0
58,76561198060447952,205790,Dota 2 Test,0.0
59,76561198056857952,70,Half-Life,451.0
60,76561198052897616,17480,Command and Conquer: Red Alert 3,277.0
61,76561198081962336,4000,Garry's Mod,18539.0
62,76561198039266272,500,Left 4 Dead,6.0
63,76561198094224864,240,Counter-Strike: Source,2150.0
64,76561198073210144,4000,Garry's Mod,2050.0
65,76561198076933840,240,Counter-Strike: Source,0.0
66,76561198072186064,240,Counter-Strike: Source,3.0
67,76561198068621600,24240,PAYDAY: The Heist,40.0
68,76561198056290592,240,Counter-Strike: Source,1908.0
69,76561198097762304,4000,Garry's Mod,1838.0
70,76561198183396240,4000,Garry's Mod,307.0
71,76561198090715168,4000,Garry's Mod,9098.0
72,76561198073784608,4000,Garry's Mod,9129.0
73,76561198102410016,205790,Dota 2 Test,0.0
74,76561198157999552,4000,Garry's Mod,488.0
75,76561198027947392,4000,Garry's Mod,270.0
76,76561198074200016,326460,ShellShock Live,258.0
77,76561198079106672,220,Half-Life 2,270.0
78,76561198092244784,4000,Garry's Mod,2617.0
79,76561197990792016,10,Counter-Strike,12108.0
80,76561198073987760,4000,Garry's Mod,196.0
81,76561198092150864,4000,Garry's Mod,5478.0
82,76561197994493408,10,Counter-Strike,1037.0
83,76561198065656176,3910,Sid Meier's Civilization III: Complete,75.0
84,76561198188979776,4000,Garry's Mod,2497.0
85,97396295,550,Left 4 Dead 2,13226.0
86,76561198126640304,4000,Garry's Mod,565.0
87,76561198072706544,240,Counter-Strike: Source,290.0
88,76561198215949744,730,Counter-Strike: Global Offensive,38830.0
89,76561198141443392,4700,Medieval II: Total War,36.0
90,76561198031924048,22380,Fallout: New Vegas,38991.0
91,76561198097333040,4000,Garry's Mod,219.0
92,76561198072205328,4000,Garry's Mod,1321.0
93,76561198060062480,205790,Dota 2 Test,0.0
94,76561198050347104,23310,The Last Remnant,0.0
95,2768820078,4000,Garry's Mod,3370.0
96,76561198049968528,4000,Garry's Mod,80.0
97,76561198056392320,29800,Caster,356.0
98,76561198074003104,240,Counter-Strike: Source,4100.0
99,76561198078478144,10,Counter-Strike,0.0
100,76561198066835168,240,Counter-Strike: Source,428.0
101,76561198069593456,113400,APB Reloaded,669.0
102,76561198095921856,4700,Medieval II: Total War,6460.0
103,76561198088944288,300,Day of Defeat: Source,1616.0
104,76561198061769792,29800,Caster,5.0
105,76561198051258128,550,Left 4 Dead 2,1636.0
106,76561198065771376,205790,Dota 2 Test,0.0
107,76561198109656928,4000,Garry's Mod,25031.0
108,76561198149432608,620,Portal 2,6873.0
109,76561198090294064,4000,Garry's Mod,720.0
110,76561198055094864,4000,Garry's Mod,6502.0
111,76561198203244304,105600,Terraria,52344.0
112,76561198115868832,4700,Medieval II: Total War,5813.0
113,76561198031207008,34030,Napoleon: Total War,2384.0
114,76561198089077856,205790,Dota 2 Test,0.0
115,76561198043458576,4000,Garry's Mod,15317.0
116,76561198062876400,220,Half-Life 2,361.0
117,76561198011661088,10,Counter-Strike,46.0
118,76561197991074656,205790,Dota 2 Test,0.0
119,76561198047630672,240,Counter-Strike: Source,3343.0
120,76561198069713120,4000,Garry's Mod,6370.0
121,76561198076248464,4000,Garry's Mod,142.0
122,76561198080832432,105600,Terraria,4048.0
123,76561198151645088,300,Day of Defeat: Source,224.0
124,76561198060039472,4000,Garry's Mod,37.0
125,76561198065593072,4000,Garry's Mod,64851.0
126,76561198044169760,300,Day of Defeat: Source,84.0
127,76561198082845360,730,Counter-Strike: Global Offensive,9628.0
128,76561198087767024,4000,Garry's Mod,2220.0
129,76561198087010384,4000,Garry's Mod,23435.0
130,66666669999999,20,Team Fortress Classic,0.0
131,76561198061174192,300,Day of Defeat: Source,69.0
132,76561198042730224,220,Half-Life 2,0.0
133,76561198069159584,205790,Dota 2 Test,148.0
134,76561198086476448,240,Counter-Strike: Source,1082.0
135,76561198085016240,240,Counter-Strike: Source,954.0
136,76561198060808272,4000,Garry's Mod,9325.0
137,76561198084390800,10180,Call of Duty: Modern Warfare 2,1.0
138,76561198003688192,10,Counter-Strike,205234.0
139,76561198028286096,4000,Garry's Mod,311.0
140,76561198088447664,10,Counter-Strike,1515.0
141,76561198084698208,4000,Garry's Mod,44302.0
142,76561198104393248,4000,Garry's Mod,12880.0
143,76561198075322976,11390,Crash Time II,22.0
144,76561198151910896,4760,Rome: Total War,14.0
145,76561198071214624,240,Counter-Strike: Source,685.0
146,76561198115115632,240,Counter-Strike: Source,527.0
147,76561198071175136,4000,Garry's Mod,1440.0
148,76561198045754880,240,Counter-Strike: Source,375.0
149,76561198076098768,240,Counter-Strike: Source,412.0
150,76561198074963072,4000,Garry's Mod,55.0
151,76561198103253376,205790,Dota 2 Test,0.0
152,76561198048417104,220,Half-Life 2,438.0
153,76561197989175392,240,Counter-Strike: Source,6964.0
154,76561198090842896,4000,Garry's Mod,14499.0
155,76561198058706736,2620,Call of Duty,0.0
156,76561198055767968,240,Counter-Strike: Source,2.0
157,76561197998052640,4000,Garry's Mod,2420.0
158,76561198145436944,4000,Garry's Mod,10473.0
159,76561198071253744,4000,Garry's Mod,1118.0
160,76561198041808352,4000,Garry's Mod,8103.0
161,76561198016685632,220,Half-Life 2,560.0
162,76561198079990064,240,Counter-Strike: Source,2.0
163,76561198051017904,400,Portal,412.0
164,76561198096766592,4000,Garry's Mod,1800.0
165,76561197995322432,220,Half-Life 2,213.0
