,genres,title,release_date,price,item_id_x,developer,user_id,item_name,playtime_forever,funny,posted,item_id_y,recommend,sentiment_analysis
0,Action,Half-Life,1998-11-08,9.99,70,Valve,70302272,Half-Life,21.0,2 people found this review funny,2014-11-11,332800,True,1
1,Action,Half-Life,1998-11-08,9.99,70,Valve,101773440,Half-Life,787.0,1 person found this review funny,2014-06-23,222880,True,2
2,Action,Half-Life,1998-11-08,9.99,70,Valve,66333856,Half-Life,1062.0,7 people found this review funny,2014-11-23,113204,False,1
3,Action,Half-Life,1998-11-08,9.99,70,Valve,134671008,Half-Life,265.0,1 person found this review funny,2014-06-26,242760,True,2
4,Action,Half-Life,1998-11-08,9.99,70,Valve,81018576,Half-Life,146.0,20 people found this review funny,2014-07-17,72850,True,2
5,Action,Half-Life,1998-11-08,9.99,70,Valve,81018576,Half-Life,146.0,256 people found this review funny,2014-08-26,104900,True,2
6,Action,Half-Life,1998-11-08,9.99,70,Valve,81018576,Half-Life,146.0,2 people found this review funny,2015-11-16,232810,False,1
7,Action,Half-Life,1998-11-08,9.99,70,Valve,83794656,Half-Life,334.0,3 people found this review funny,2015-03-28,354240,True,0
8,Action,Half-Life,1998-11-08,9.99,70,Valve,83794656,Half-Life,334.0,3 people found this review funny,2014-11-07,263420,True,1
9,Action,Half-Life,1998-11-08,9.99,70,Valve,123124672,Half-Life,952.0,1 person found this review funny,2015-12-11,239140,True,0
10,Action,Half-Life,1998-11-08,9.99,70,Valve,136177824,Half-Life,64.0,1 person found this review funny,2015-06-23,730,True,2
11,Action,Half-Life,1998-11-08,9.99,70,Valve,136177824,Half-Life,64.0,1 person found this review funny,2014-07-12,227940,True,2
12,Action,Half-Life,1998-11-08,9.99,70,Valve,102267984,Half-Life,88.0,1 person found this review funny,2015-12-07,201790,True,2
13,Action,Half-Life,1998-11-08,9.99,70,Valve,98901712,Half-Life,1285.0,3 people found this review funny,2013-07-25,107410,True,1
14,Action,Half-Life,1998-11-08,9.99,70,Valve,95588128,Half-Life,37.0,1 person found this review funny,2015-07-02,730,True,2
15,Action,Half-Life,1998-11-08,9.99,70,Valve,73716640,Half-Life,247.0,1 person found this review funny,2015-06-24,208650,False,0
16,Action,Half-Life,1998-11-08,9.99,70,Valve,129215536,Half-Life,3380.0,27 people found this review funny,2014-09-08,31220,True,2
17,Action,Half-Life,1998-11-08,9.99,70,Valve,116941664,Half-Life,1.0,1 person found this review funny,2015-07-03,346110,True,0
18,Action,Half-Life,1998-11-08,9.99,70,Valve,102724400,Half-Life,439.0,1 person found this review funny,2015-05-29,292030,True,2
19,Action,Half-Life,1998-11-08,9.99,70,Valve,97684656,Half-Life,1192.0,3 people found this review funny,2015-09-07,292030,True,2
20,Action,Half-Life,1998-11-08,9.99,70,Valve,108873296,Half-Life,608.0,2 people found this review funny,2015-02-23,6020,True,2
21,Action,Half-Life,1998-11-08,9.99,70,Valve,80012720,Half-Life,1181.0,1 person found this review funny,2015-03-22,730,True,1
22,Action,Half-Life,1998-11-08,9.99,70,Valve,104844128,Half-Life,1.0,1 person found this review funny,2015-11-11,311210,True,1
23,Action,Half-Life,1998-11-08,9.99,70,Valve,125853248,Half-Life,1.0,1 person found this review funny,2013-12-27,1250,True,1
24,Action,Half-Life,1998-11-08,9.99,70,Valve,119943424,Half-Life,1360.0,1 person found this review funny,2014-06-30,4000,True,2
25,Action,Half-Life,1998-11-08,9.99,70,Valve,119943424,Half-Life,1360.0,6 people found this review funny,2015-10-10,7670,True,0
26,Action,Half-Life,1998-11-08,9.99,70,Valve,119943424,Half-Life,1360.0,2 people found this review funny,2015-10-10,72850,True,0
27,Action,Half-Life,1998-11-08,9.99,70,Valve,119943424,Half-Life,1360.0,1 person found this review funny,2015-12-22,391540,True,2
28,Action,Half-Life,1998-11-08,9.99,70,Valve,93917696,Half-Life,139.0,1 person found this review funny,2015-05-31,570,True,2
29,Action,Half-Life,1998-11-08,9.99,70,Valve,31457472,Half-Life,80.0,1 person found this review funny,2015-06-05,236510,False,0
30,Action,Half-Life,1998-11-08,9.99,70,Valve,94487424,Half-Life,99.0,1 person found this review funny,2013-12-12,211820,True,2
31,Action,Half-Life,1998-11-08,9.99,70,Valve,151159104,Half-Life,2780.0,2 people found this review funny,2014-11-17,730,False,1
32,Action,Half-Life,1998-11-08,9.99,70,Valve,126100640,Half-Life,672.0,1 person found this review funny,2015-05-13,440,True,2
33,Action,Half-Life,1998-11-08,9.99,70,Valve,36537248,Half-Life,0.0,1 person found this review funny,2015-11-20,311210,True,1
